XNSE/TTKHLTCARE_UADJ,TTK Healthcare Ltd. (TTKHLTCARE) Unadjusted Stock Prices
XNSE/TTKHLTCARE,TTK Healthcare Ltd. (TTKHLTCARE) Adjusted Stock Prices
XNSE/UMANGDAIRY_UADJ,Umang Dairies Ltd (UMANGDAIRY) Unadjusted Stock Prices
XNSE/UMANGDAIRY,Umang Dairies Ltd (UMANGDAIRY) Adjusted Stock Prices
XNSE/LICNFENGP_UADJ,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNFENGP) Unadjusted Stock Prices
XNSE/LICNFENGP,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNFENGP) Adjusted Stock Prices
XNSE/MFWB3RG,Sundaram Asset Management Company Limited (MFWB3RG) Adjusted Stock Prices
XNSE/MFWB3RG_UADJ,Sundaram Asset Management Company Limited (MFWB3RG) Unadjusted Stock Prices
XNSE/PILANIINVS_UADJ,Pilani Investment & Industries Corporation Ltd (PILANIINVS) Unadjusted Stock Prices
XNSE/PILANIINVS,Pilani Investment & Industries Corporation Ltd (PILANIINVS) Adjusted Stock Prices
XNSE/KTKNV20ETF,Kotak Mahindra Asset Management Company Ltd (KTKNV20ETF) Adjusted Stock Prices
XNSE/KTKNV20ETF_UADJ,Kotak Mahindra Asset Management Company Ltd (KTKNV20ETF) Unadjusted Stock Prices
XNSE/MFUTIFEFRGR2_UADJ,UTI Asset Management Company Ltd (MFUTIFEFRGR2) Unadjusted Stock Prices
XNSE/MFUTIFEFRGR2,UTI Asset Management Company Ltd (MFUTIFEFRGR2) Adjusted Stock Prices
XNSE/KRIDHANINF_UADJ,Kridhan Infra Ltd (KRIDHANINF) Unadjusted Stock Prices
XNSE/KRIDHANINF,Kridhan Infra Ltd (KRIDHANINF) Adjusted Stock Prices
XNSE/HDFCNIFETF_UADJ,HDFC Asset Management Company Ltd. (HDFCNIFETF) Unadjusted Stock Prices
XNSE/HDFCNIFETF,HDFC Asset Management Company Ltd. (HDFCNIFETF) Adjusted Stock Prices
XNSE/LINCOLN,Lincoln Pharmaceuticals Ltd. (LINCOLN) Adjusted Stock Prices
XNSE/LINCOLN_UADJ,Lincoln Pharmaceuticals Ltd. (LINCOLN) Unadjusted Stock Prices
XNSE/EBANK,Edelweiss Asset Management Ltd. (EBANK) Adjusted Stock Prices
XNSE/EBANK_UADJ,Edelweiss Asset Management Ltd. (EBANK) Unadjusted Stock Prices
XNSE/HDFCSENETF_UADJ,HDFC Asset Management Company Ltd. (HDFCSENETF) Unadjusted Stock Prices
XNSE/HDFCSENETF,HDFC Asset Management Company Ltd. (HDFCSENETF) Adjusted Stock Prices
XNSE/KOTAKNV20_UADJ,Kotak Mahindra Asset Management Company Ltd (KOTAKNV20) Unadjusted Stock Prices
XNSE/KOTAKNV20,Kotak Mahindra Asset Management Company Ltd (KOTAKNV20) Adjusted Stock Prices
XNSE/ORCHIDPHAR_UADJ,Orchid Pharma Ltd (ORCHIDPHAR) Unadjusted Stock Prices
XNSE/ORCHIDPHAR,Orchid Pharma Ltd (ORCHIDPHAR) Adjusted Stock Prices
XNSE/VIKASECO_UADJ,Vikas EcoTech Ltd. (VIKASECO) Unadjusted Stock Prices
XNSE/VIKASECO,Vikas EcoTech Ltd. (VIKASECO) Adjusted Stock Prices
XNSE/ALKEM_UADJ,Alkem Laboratories Limited (ALKEM) Unadjusted Stock Prices
XNSE/ALKEM,Alkem Laboratories Limited (ALKEM) Adjusted Stock Prices
XNSE/LALPATHLAB_UADJ,Dr. Lal PathLabs Ltd. (LALPATHLAB) Unadjusted Stock Prices
XNSE/LALPATHLAB,Dr. Lal PathLabs Ltd. (LALPATHLAB) Adjusted Stock Prices
XNSE/LICNETFGSC_UADJ,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNETFGSC) Unadjusted Stock Prices
XNSE/LICNETFGSC,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNETFGSC) Adjusted Stock Prices
XNSE/MF549_UADJ,Sundaram Asset Management Company Limited (MF549) Unadjusted Stock Prices
XNSE/MFBNPCPGII_UADJ,BNP Paribas Asset Management (India) Pvt. Ltd (MFBNPCPGII) Unadjusted Stock Prices
XNSE/MF549,Sundaram Asset Management Company Limited (MF549) Adjusted Stock Prices
XNSE/MFBNPCPGII,BNP Paribas Asset Management (India) Pvt. Ltd (MFBNPCPGII) Adjusted Stock Prices
XNSE/NH_UADJ,Narayana Hrudayalaya Ltd (NH) Unadjusted Stock Prices
XNSE/NH,Narayana Hrudayalaya Ltd (NH) Adjusted Stock Prices
XNSE/MFBSLFTPLVDG,Birla Sun Life Asset Management Company Ltd (MFBSLFTPLVDG) Adjusted Stock Prices
XNSE/MFBSLFTPLVDG_UADJ,Birla Sun Life Asset Management Company Ltd (MFBSLFTPLVDG) Unadjusted Stock Prices
XNSE/LICNETFN50_UADJ,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNETFN50) Unadjusted Stock Prices
XNSE/LICNETFN50,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNETFN50) Adjusted Stock Prices
XNSE/MFDWSMIDRD_UADJ,Deutsche Investments India Pvt Ltd (MFDWSMIDRD) Unadjusted Stock Prices
XNSE/MFBSLELFS5RG,Birla Sun Life Asset Management Company Ltd (MFBSLELFS5RG) Adjusted Stock Prices
XNSE/MFSC2RD,Sundaram Asset Management Company Limited (MFSC2RD) Adjusted Stock Prices
XNSE/MFSC2RD_UADJ,Sundaram Asset Management Company Limited (MFSC2RD) Unadjusted Stock Prices
XNSE/MFSMCSRVIRD_UADJ,Sundaram Asset Management Company Limited (MFSMCSRVIRD) Unadjusted Stock Prices
XNSE/MFSMCSRVIRD,Sundaram Asset Management Company Limited (MFSMCSRVIRD) Adjusted Stock Prices
XNSE/MFDWSMIDRD,Deutsche Investments India Pvt Ltd (MFDWSMIDRD) Adjusted Stock Prices
XNSE/MFUTCPOSRGR1,UTI Asset Management Company Ltd (MFUTCPOSRGR1) Adjusted Stock Prices
XNSE/MFBSLELFS5RG_UADJ,Birla Sun Life Asset Management Company Ltd (MFBSLELFS5RG) Unadjusted Stock Prices
XNSE/MFUTCPOSRGR1_UADJ,UTI Asset Management Company Ltd (MFUTCPOSRGR1) Unadjusted Stock Prices
XNSE/SMFOURTHDIM,Fourth Dimension Solutions Ltd. (SMFOURTHDIM) Adjusted Stock Prices
XNSE/SMFOURTHDIM_UADJ,Fourth Dimension Solutions Ltd. (SMFOURTHDIM) Unadjusted Stock Prices
XNSE/OCCL,Oriental Carbon & Chemicals Ltd. (OCCL) Adjusted Stock Prices
XNSE/OCCL_UADJ,Oriental Carbon & Chemicals Ltd. (OCCL) Unadjusted Stock Prices
XNSE/JSLHISAR_UADJ,Jindal Stainless (Hisar) Ltd (JSLHISAR) Unadjusted Stock Prices
XNSE/JSLHISAR,Jindal Stainless (Hisar) Ltd (JSLHISAR) Adjusted Stock Prices
XNSE/ABFRL_UADJ,Aditya Birla Fashion & Retail Ltd. (ABFRL) Unadjusted Stock Prices
XNSE/ABFRL,Aditya Birla Fashion & Retail Ltd. (ABFRL) Adjusted Stock Prices
XNSE/MFMC6RD_UADJ,Sundaram Asset Management Company Limited (MFMC6RD) Unadjusted Stock Prices
XNSE/MFBSLFEFS2RG_UADJ,Birla Sun Life Asset Management Company Ltd (MFBSLFEFS2RG) Unadjusted Stock Prices
XNSE/MFMC6RD,Sundaram Asset Management Company Limited (MFMC6RD) Adjusted Stock Prices
XNSE/MFBSLFEFS2RG,Birla Sun Life Asset Management Company Ltd (MFBSLFEFS2RG) Adjusted Stock Prices
XNSE/AYMSYNTEX_UADJ,AYM Syntex Ltd. (AYMSYNTEX) Unadjusted Stock Prices
XNSE/AYMSYNTEX,AYM Syntex Ltd. (AYMSYNTEX) Adjusted Stock Prices
XNSE/MFIPRU2262,ICICI Prudential Asset Management Company Ltd. (MFIPRU2262) Adjusted Stock Prices
XNSE/MFSMCSRIIIRD_UADJ,Sundaram Asset Management Company Limited (MFSMCSRIIIRD) Unadjusted Stock Prices
XNSE/MFSMCSRIIIRD,Sundaram Asset Management Company Limited (MFSMCSRIIIRD) Adjusted Stock Prices
XNSE/MFIPRU2262_UADJ,ICICI Prudential Asset Management Company Ltd. (MFIPRU2262) Unadjusted Stock Prices
XNSE/PRECAM_UADJ,Precision Camshafts Ltd. (PRECAM) Unadjusted Stock Prices
XNSE/PRECAM,Precision Camshafts Ltd. (PRECAM) Adjusted Stock Prices
XNSE/TEAMLEASE,TeamLease Services Ltd (TEAMLEASE) Adjusted Stock Prices
XNSE/TEAMLEASE_UADJ,TeamLease Services Ltd (TEAMLEASE) Unadjusted Stock Prices
XNSE/QUICKHEAL_UADJ,Quick Heal Technologies Ltd (QUICKHEAL) Unadjusted Stock Prices
XNSE/QUICKHEAL,Quick Heal Technologies Ltd (QUICKHEAL) Adjusted Stock Prices
XNSE/SMHITECH_UADJ,Hi-Tech Pipes Ltd. (SMHITECH) Unadjusted Stock Prices
XNSE/SMHITECH,Hi-Tech Pipes Ltd. (SMHITECH) Adjusted Stock Prices
XNSE/BHARATIDIL,Bharati Defence & Infrastructure Ltd (BHARATIDIL) Adjusted Stock Prices
XNSE/BHARATIDIL_UADJ,Bharati Defence & Infrastructure Ltd (BHARATIDIL) Unadjusted Stock Prices
XNSE/MFSL_UADJ,Max Financial Services Ltd. (MFSL) Unadjusted Stock Prices
XNSE/MFSL,Max Financial Services Ltd. (MFSL) Adjusted Stock Prices
XNSE/BHAGERIA_UADJ,Bhageria Industries Ltd. (BHAGERIA) Unadjusted Stock Prices
XNSE/BHAGERIA,Bhageria Industries Ltd. (BHAGERIA) Adjusted Stock Prices
XNSE/KELLTONTEC_UADJ,Kellton Tech Solutions Ltd (KELLTONTEC) Unadjusted Stock Prices
XNSE/KELLTONTEC,Kellton Tech Solutions Ltd (KELLTONTEC) Adjusted Stock Prices
XNSE/NECCLTD_UADJ,North Eastern Carrying Corporation Ltd (NECCLTD) Unadjusted Stock Prices
XNSE/NECCLTD,North Eastern Carrying Corporation Ltd (NECCLTD) Adjusted Stock Prices
XNSE/VIDHIDYE,Vidhi Specialty Food Ingredients Ltd. (VIDHIDYE) Adjusted Stock Prices
XNSE/VIDHIDYE_UADJ,Vidhi Specialty Food Ingredients Ltd. (VIDHIDYE) Unadjusted Stock Prices
XNSE/MFBSLCAP21RG_UADJ,Birla Sun Life Asset Management Company Ltd (MFBSLCAP21RG) Unadjusted Stock Prices
XNSE/MFBSLCAP21RG,Birla Sun Life Asset Management Company Ltd (MFBSLCAP21RG) Adjusted Stock Prices
XNSE/SEQUENT_UADJ,Sequent Scientific Ltd (SEQUENT) Unadjusted Stock Prices
XNSE/SEQUENT,Sequent Scientific Ltd (SEQUENT) Adjusted Stock Prices
XNSE/GOKULAGRO_UADJ,Gokul Agro Resources Ltd. (GOKULAGRO) Unadjusted Stock Prices
XNSE/GOKULAGRO,Gokul Agro Resources Ltd. (GOKULAGRO) Adjusted Stock Prices
XNSE/SIMBHALS_UADJ,Simbhaoli Sugars Ltd. (SIMBHALS) Unadjusted Stock Prices
XNSE/SIMBHALS,Simbhaoli Sugars Ltd. (SIMBHALS) Adjusted Stock Prices
XNSE/RDEL_UADJ,Reliance Defence & Engineering Ltd. (RDEL) Unadjusted Stock Prices
XNSE/RDEL,Reliance Defence & Engineering Ltd. (RDEL) Adjusted Stock Prices
XNSE/KDDL_UADJ,KDDL Ltd (KDDL) Unadjusted Stock Prices
XNSE/KDDL,KDDL Ltd (KDDL) Adjusted Stock Prices
XNSE/ITHUSYS_UADJ,Husys Consulting Ltd. (ITHUSYS) Unadjusted Stock Prices
XNSE/ITHUSYS,Husys Consulting Ltd. (ITHUSYS) Adjusted Stock Prices
XNSE/HCG_UADJ,HealthCare Global Enterprises Ltd (HCG) Unadjusted Stock Prices
XNSE/HCG,HealthCare Global Enterprises Ltd (HCG) Adjusted Stock Prices
XNSE/PDMJEPAPER,Pudumjee Paper Products Ltd. (PDMJEPAPER) Adjusted Stock Prices
XNSE/PDMJEPAPER_UADJ,Pudumjee Paper Products Ltd. (PDMJEPAPER) Unadjusted Stock Prices
XNSE/PILITA,PIL Italica Lifestyle Ltd. (PILITA) Adjusted Stock Prices
XNSE/PILITA_UADJ,PIL Italica Lifestyle Ltd. (PILITA) Unadjusted Stock Prices
XNSE/SPHEREGSL_UADJ,Sphere Global Services Ltd (SPHEREGSL) Unadjusted Stock Prices
XNSE/SPHEREGSL,Sphere Global Services Ltd (SPHEREGSL) Adjusted Stock Prices
XNSE/SMWEALTH_UADJ,Wealth First Portfolio Managers Ltd. (SMWEALTH) Unadjusted Stock Prices
XNSE/SMWEALTH,Wealth First Portfolio Managers Ltd. (SMWEALTH) Adjusted Stock Prices
XNSE/NKIND_UADJ,N.K. Industries Ltd. (NKIND) Unadjusted Stock Prices
XNSE/NKIND,N.K. Industries Ltd. (NKIND) Adjusted Stock Prices
XNSE/BHARATWIRE_UADJ,Bharat Wire Ropes Ltd. (BHARATWIRE) Unadjusted Stock Prices
XNSE/BHARATWIRE,Bharat Wire Ropes Ltd. (BHARATWIRE) Adjusted Stock Prices
XNSE/INEOSSTYRO_UADJ,INEOS Styrolution India Ltd. (INEOSSTYRO) Unadjusted Stock Prices
XNSE/INEOSSTYRO,INEOS Styrolution India Ltd. (INEOSSTYRO) Adjusted Stock Prices
XNSE/INFIBEAM_UADJ,Infibeam Incorporation Ltd. (INFIBEAM) Unadjusted Stock Prices
XNSE/INFIBEAM,Infibeam Incorporation Ltd. (INFIBEAM) Adjusted Stock Prices
XNSE/MFCRMFCP6RG_UADJ,Canara Robeco Asset Management Company Ltd (MFCRMFCP6RG) Unadjusted Stock Prices
XNSE/MFCRMFCP6RG,Canara Robeco Asset Management Company Ltd (MFCRMFCP6RG) Adjusted Stock Prices
XNSE/UITAS_UADJ,Equitas Holding Ltd (EQUITAS) Unadjusted Stock Prices
XNSE/UITAS,Equitas Holding Ltd (UITAS) Adjusted Stock Prices
XNSE/P2ZEEL_UADJ,Zee Entertainment Enterprises Ltd (P2ZEEL) Unadjusted Stock Prices
XNSE/P2ZEEL,Zee Entertainment Enterprises Ltd (P2ZEEL) Adjusted Stock Prices
XNSE/MFLTEBFG,L&T Investment Management Limited (MFLTEBFG) Adjusted Stock Prices
XNSE/MFLTEBFG_UADJ,L&T Investment Management Limited (MFLTEBFG) Unadjusted Stock Prices
XNSE/PALREDTEC_UADJ,Palred Technologies Ltd. (PALREDTEC) Unadjusted Stock Prices
XNSE/PALREDTEC,Palred Technologies Ltd. (PALREDTEC) Adjusted Stock Prices
XNSE/THYROCARE_UADJ,Thyrocare Technologies Limited (THYROCARE) Unadjusted Stock Prices
XNSE/THYROCARE,Thyrocare Technologies Limited (THYROCARE) Adjusted Stock Prices
XNSE/UJJIVAN_UADJ,Ujjivan Financial Services Ltd (UJJIVAN) Unadjusted Stock Prices
XNSE/UJJIVAN,Ujjivan Financial Services Ltd (UJJIVAN) Adjusted Stock Prices
XNSE/MFAXISSCRGP,Axis Asset Management Company Limited (MFAXISSCRGP) Adjusted Stock Prices
XNSE/MFAXISSCRGP_UADJ,Axis Asset Management Company Limited (MFAXISSCRGP) Unadjusted Stock Prices
XNSE/CROMPTON_UADJ,Crompton Greaves Consumer Electrical Ltd (CROMPTON) Unadjusted Stock Prices
XNSE/CROMPTON,Crompton Greaves Consumer Electrical Ltd (CROMPTON) Adjusted Stock Prices
XNSE/SMSAGARDEEP,Sagardeep Alloys Ltd (SMSAGARDEEP) Adjusted Stock Prices
XNSE/SMSAGARDEEP_UADJ,Sagardeep Alloys Ltd (SMSAGARDEEP) Unadjusted Stock Prices
XNSE/PARAGMILK_UADJ,Parag Milk Foods Ltd (PARAGMILK) Unadjusted Stock Prices
XNSE/PARAGMILK,Parag Milk Foods Ltd (PARAGMILK) Adjusted Stock Prices
XNSE/LICNFNHGP_UADJ,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNFNHGP) Unadjusted Stock Prices
XNSE/LICNFNHGP,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNFNHGP) Adjusted Stock Prices
XNSE/30,Edelweiss Asset Management Ltd. (30) Adjusted Stock Prices
XNSE/30_UADJ,Edelweiss Asset Management Ltd. (EQ30) Unadjusted Stock Prices
XNSE/SMUNITEDPOLY_UADJ,United Polyfab Gujarat Ltd (SMUNITEDPOLY) Unadjusted Stock Prices
XNSE/SMUNITEDPOLY,United Polyfab Gujarat Ltd (SMUNITEDPOLY) Adjusted Stock Prices
XNSE/SHRIPISTON_UADJ,Shriram Pistons & Rings Ltd (SHRIPISTON) Unadjusted Stock Prices
XNSE/SHRIPISTON,Shriram Pistons & Rings Ltd (SHRIPISTON) Adjusted Stock Prices
XNSE/ASPINWALL,Aspinwall & Co. Ltd (ASPINWALL) Adjusted Stock Prices
XNSE/ASPINWALL_UADJ,Aspinwall & Co. Ltd (ASPINWALL) Unadjusted Stock Prices
XNSE/ARMANFIN_UADJ,Arman Financial Services Ltd (ARMANFIN) Unadjusted Stock Prices
XNSE/ARMANFIN,Arman Financial Services Ltd (ARMANFIN) Adjusted Stock Prices
XNSE/ALBERTDAVD,Albert David Ltd. (ALBERTDAVD) Adjusted Stock Prices
XNSE/ALBERTDAVD_UADJ,Albert David Ltd. (ALBERTDAVD) Unadjusted Stock Prices
XNSE/GBGBNOV23,India (GBGBNOV23) Adjusted Stock Prices
XNSE/GBGBNOV23_UADJ,India (GBGBNOV23) Unadjusted Stock Prices
XNSE/BLS_UADJ,BLS International Services Ltd (BLS) Unadjusted Stock Prices
XNSE/BLS,BLS International Services Ltd (BLS) Adjusted Stock Prices
XNSE/PINCON,Pincon Spirit Ltd (PINCON) Adjusted Stock Prices
XNSE/PINCON_UADJ,Pincon Spirit Ltd (PINCON) Unadjusted Stock Prices
XNSE/NAGAFERT,Nagarjuna Fertilizers & Chemicals Ltd. (NAGAFERT) Adjusted Stock Prices
XNSE/NAGAFERT_UADJ,Nagarjuna Fertilizers & Chemicals Ltd. (NAGAFERT) Unadjusted Stock Prices
XNSE/MFIPRU2397_UADJ,ICICI Prudential Asset Management Company Ltd. (MFIPRU2397) Unadjusted Stock Prices
XNSE/MFIPRU2397,ICICI Prudential Asset Management Company Ltd. (MFIPRU2397) Adjusted Stock Prices
XNSE/PREMEXPLN,Premier Explosives Ltd. (PREMEXPLN) Adjusted Stock Prices
XNSE/PREMEXPLN_UADJ,Premier Explosives Ltd. (PREMEXPLN) Unadjusted Stock Prices
XNSE/MAXVIL_UADJ,Max Ventures & Industries Ltd. (MAXVIL) Unadjusted Stock Prices
XNSE/MAXVIL,Max Ventures & Industries Ltd. (MAXVIL) Adjusted Stock Prices
XNSE/SETF10GILT_UADJ,SBI Funds Management Private Limited (SETF10GILT) Unadjusted Stock Prices
XNSE/SETF10GILT,SBI Funds Management Private Limited (SETF10GILT) Adjusted Stock Prices
XNSE/IVZINNIFTY_UADJ,Invesco Asset Management (India) Pvt. Ltd. (IVZINNIFTY) Unadjusted Stock Prices
XNSE/IVZINNIFTY,Invesco Asset Management (India) Pvt. Ltd. (IVZINNIFTY) Adjusted Stock Prices
XNSE/CONTROLPR_UADJ,Control Print Ltd (CONTROLPR) Unadjusted Stock Prices
XNSE/CONTROLPR,Control Print Ltd (CONTROLPR) Adjusted Stock Prices
XNSE/UVSL_UADJ,Uttam Value Steels Ltd (UVSL) Unadjusted Stock Prices
XNSE/UVSL,Uttam Value Steels Ltd (UVSL) Adjusted Stock Prices
XNSE/KAMDHENU,Kamdhenu Ltd. (KAMDHENU) Adjusted Stock Prices
XNSE/KAMDHENU_UADJ,Kamdhenu Ltd. (KAMDHENU) Unadjusted Stock Prices
XNSE/IVZINGOLD_UADJ,Invesco Asset Management (India) Pvt. Ltd. (IVZINGOLD) Unadjusted Stock Prices
XNSE/IVZINGOLD,Invesco Asset Management (India) Pvt. Ltd. (IVZINGOLD) Adjusted Stock Prices
XNSE/INV20_UADJ,ICICI Prudential Asset Management Company Ltd. (INV20) Unadjusted Stock Prices
XNSE/INV20,ICICI Prudential Asset Management Company Ltd. (INV20) Adjusted Stock Prices
XNSE/ABMINTLTD,ABM International Ltd. (ABMINTLTD) Adjusted Stock Prices
XNSE/ABMINTLTD_UADJ,ABM International Ltd. (ABMINTLTD) Unadjusted Stock Prices
XNSE/MAHASTEEL,Mahamaya Steel Industries Ltd (MAHASTEEL) Adjusted Stock Prices
XNSE/MAHASTEEL_UADJ,Mahamaya Steel Industries Ltd (MAHASTEEL) Unadjusted Stock Prices
XNSE/ADHUNIKIND,Adhunik Industries Ltd. (ADHUNIKIND) Adjusted Stock Prices
XNSE/ADHUNIKIND_UADJ,Adhunik Industries Ltd. (ADHUNIKIND) Unadjusted Stock Prices
XNSE/SETCO_UADJ,Setco Automotive Ltd. (SETCO) Unadjusted Stock Prices
XNSE/SETCO,Setco Automotive Ltd. (SETCO) Adjusted Stock Prices
XNSE/MGL,Mahanagar Gas Ltd. (MGL) Adjusted Stock Prices
XNSE/MGL_UADJ,Mahanagar Gas Ltd. (MGL) Unadjusted Stock Prices
XNSE/BHARATFIN,Bharat Financial Inclusion Ltd (BHARATFIN) Adjusted Stock Prices
XNSE/BHARATFIN_UADJ,Bharat Financial Inclusion Ltd (BHARATFIN) Unadjusted Stock Prices
XNSE/DAMODARIND_UADJ,Damodar Industries Ltd (DAMODARIND) Unadjusted Stock Prices
XNSE/DAMODARIND,Damodar Industries Ltd (DAMODARIND) Adjusted Stock Prices
XNSE/COMPINFO_UADJ,Compuage Infocom Ltd (COMPINFO) Unadjusted Stock Prices
XNSE/COMPINFO,Compuage Infocom Ltd (COMPINFO) Adjusted Stock Prices
XNSE/MOLDTECH_UADJ,Mold-Tek Technologies Ltd. (MOLDTECH) Unadjusted Stock Prices
XNSE/MOLDTECH,Mold-Tek Technologies Ltd. (MOLDTECH) Adjusted Stock Prices
XNSE/POKARNA,Pokarna Ltd. (POKARNA) Adjusted Stock Prices
XNSE/POKARNA_UADJ,Pokarna Ltd. (POKARNA) Unadjusted Stock Prices
XNSE/VIJIFIN_UADJ,Viji Finance Ltd. (VIJIFIN) Unadjusted Stock Prices
XNSE/VIJIFIN,Viji Finance Ltd. (VIJIFIN) Adjusted Stock Prices
XNSE/GPTINFRA_UADJ,GPT Infraprojects Ltd (GPTINFRA) Unadjusted Stock Prices
XNSE/GPTINFRA,GPT Infraprojects Ltd (GPTINFRA) Adjusted Stock Prices
XNSE/IMIDCAP,ICICI Prudential Asset Management Company Ltd. (IMIDCAP) Adjusted Stock Prices
XNSE/IMIDCAP_UADJ,ICICI Prudential Asset Management Company Ltd. (IMIDCAP) Unadjusted Stock Prices
XNSE/QUESS_UADJ,Quess Corp Ltd (QUESS) Unadjusted Stock Prices
XNSE/QUESS,Quess Corp Ltd (QUESS) Adjusted Stock Prices
XNSE/DIGJAMLTD_UADJ,Digjam Ltd. (DIGJAMLTD) Unadjusted Stock Prices
XNSE/DIGJAMLTD,Digjam Ltd. (DIGJAMLTD) Adjusted Stock Prices
XNSE/MAXINDIA_UADJ,Max India Ltd (MAXINDIA) Unadjusted Stock Prices
XNSE/MAXINDIA,Max India Ltd (MAXINDIA) Adjusted Stock Prices
XNSE/RRSLGETF_UADJ,Reliance Nippon Life Asset Management Ltd. (RRSLGETF) Unadjusted Stock Prices
XNSE/RRSLGETF,Reliance Nippon Life Asset Management Ltd. (RRSLGETF) Adjusted Stock Prices
XNSE/GROBTEA_UADJ,Grob Tea Co Ltd (GROBTEA) Unadjusted Stock Prices
XNSE/GROBTEA,Grob Tea Co Ltd (GROBTEA) Adjusted Stock Prices
XNSE/SOMICONVEY_UADJ,Somi Conveyor Beltings Ltd (SOMICONVEY) Unadjusted Stock Prices
XNSE/SOMICONVEY,Somi Conveyor Beltings Ltd (SOMICONVEY) Adjusted Stock Prices
XNSE/LSIL_UADJ,Lloyds Steels Industries Ltd. (LSIL) Unadjusted Stock Prices
XNSE/LSIL,Lloyds Steels Industries Ltd. (LSIL) Adjusted Stock Prices
XNSE/LTI_UADJ,Larsen & Toubro Infotech Ltd. (LTI) Unadjusted Stock Prices
XNSE/LTI,Larsen & Toubro Infotech Ltd. (LTI) Adjusted Stock Prices
XNSE/STAMPEDE_UADJ,Stampede Capital Ltd (STAMPEDE) Unadjusted Stock Prices
XNSE/STAMPEDE,Stampede Capital Ltd (STAMPEDE) Adjusted Stock Prices
XNSE/SENSEXIWIN_UADJ,ICICI Prudential Asset Management Company Ltd. (SENSEXIWIN) Unadjusted Stock Prices
XNSE/SENSEXIWIN,ICICI Prudential Asset Management Company Ltd. (SENSEXIWIN) Adjusted Stock Prices
XNSE/NV20IWIN_UADJ,ICICI Prudential Asset Management Company Ltd. (NV20IWIN) Unadjusted Stock Prices
XNSE/NV20IWIN,ICICI Prudential Asset Management Company Ltd. (NV20IWIN) Adjusted Stock Prices
XNSE/NIFTYIWIN_UADJ,ICICI Prudential Asset Management Company Ltd. (NIFTYIWIN) Unadjusted Stock Prices
XNSE/NIF100IWIN_UADJ,ICICI Prudential Asset Management Company Ltd. (NIF100IWIN) Unadjusted Stock Prices
XNSE/NIFTYIWIN,ICICI Prudential Asset Management Company Ltd. (NIFTYIWIN) Adjusted Stock Prices
XNSE/NIF100IWIN,ICICI Prudential Asset Management Company Ltd. (NIF100IWIN) Adjusted Stock Prices
XNSE/MIDCAPIWIN_UADJ,ICICI Prudential Asset Management Company Ltd. (MIDCAPIWIN) Unadjusted Stock Prices
XNSE/MIDCAPIWIN,ICICI Prudential Asset Management Company Ltd. (MIDCAPIWIN) Adjusted Stock Prices
XNSE/GOLDIWIN_UADJ,ICICI Prudential Asset Management Company Ltd. (GOLDIWIN) Unadjusted Stock Prices
XNSE/GOLDIWIN,ICICI Prudential Asset Management Company Ltd. (GOLDIWIN) Adjusted Stock Prices
XNSE/MINDTECK,Mindteck (India) Ltd. (MINDTECK) Adjusted Stock Prices
XNSE/MINDTECK_UADJ,Mindteck (India) Ltd. (MINDTECK) Unadjusted Stock Prices
XNSE/ADVENZYMES_UADJ,Advanced Enzyme Technologies Ltd (ADVENZYMES) Unadjusted Stock Prices
XNSE/ADVENZYMES,Advanced Enzyme Technologies Ltd (ADVENZYMES) Adjusted Stock Prices
XNSE/LICNETFSEN,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNETFSEN) Adjusted Stock Prices
XNSE/LICNETFSEN_UADJ,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNETFSEN) Unadjusted Stock Prices
XNSE/DBL_UADJ,Dilip Buildcon Ltd (DBL) Unadjusted Stock Prices
XNSE/DBL,Dilip Buildcon Ltd (DBL) Adjusted Stock Prices
XNSE/SPAL,S.P. Apparels Ltd (SPAL) Adjusted Stock Prices
XNSE/SPAL_UADJ,S.P. Apparels Ltd (SPAL) Unadjusted Stock Prices
XNSE/HSCL,Himadri Speciality Chemical Ltd. (HSCL) Adjusted Stock Prices
XNSE/HSCL_UADJ,Himadri Speciality Chemical Ltd. (HSCL) Unadjusted Stock Prices
XNSE/SITINET_UADJ,Siti Networks Ltd. (SITINET) Unadjusted Stock Prices
XNSE/SITINET,Siti Networks Ltd. (SITINET) Adjusted Stock Prices
XNSE/MFUTIFEFRDP2_UADJ,UTI Asset Management Company Ltd (MFUTIFEFRDP2) Unadjusted Stock Prices
XNSE/MFUTIFEFRDP2,UTI Asset Management Company Ltd (MFUTIFEFRDP2) Adjusted Stock Prices
XNSE/SALONA_UADJ,Salona Cotspin Ltd. (SALONA) Unadjusted Stock Prices
XNSE/SALONA,Salona Cotspin Ltd. (SALONA) Adjusted Stock Prices
XNSE/MFDWSFMP64RG_UADJ,DHFL Pramerica Asset Managers Private Limited (MFDWSFMP64RG) Unadjusted Stock Prices
